Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
28,478,28,May 1 (1),ATL,@,NYM,W9-8,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.336,.423,.759,3,.90,-0.128,1.21,-0.10%,-1.60,0.00,0.00,3B
29,479,29,May 1 (2),ATL,@,NYM,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.241,.333,.417,.750,3,1.52,-0.060,2.08,-0.05%,-0.79,3.00,3.00,3B
30,480,30,May 2,ATL,@,MIA,W6-0,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.241,.336,.411,.747,3,.86,0.003,1.14,0.00%,0.70,7.00,9.50,3B
31,481,31,May 3,ATL,@,MIA,W14-6,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.239,.331,.427,.758,3,.21,-0.010,.28,-0.01%,1.05,16.00,22.20,3B
32,482,32,May 4,ATL,@,MIA,W6-3,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.248,.340,.430,.770,3,.74,0.069,.98,0.05%,1.00,10.00,12.20,3B
33,483,33,May 5,ATL,,BAL,L4-9,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.256,.345,.432,.777,3,.97,-0.075,1.17,-0.05%,-0.18,8.00,9.20,3B
34,484,34,May 6,ATL,,BAL,W5-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.342,.434,.776,3,1.65,0.071,2.03,0.05%,-0.36,7.00,9.20,3B
35,485,35,May 7,ATL,,BAL,W3-2,CG(12),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.246,.331,.418,.749,3,1.90,-0.236,2.16,-0.16%,-1.44,0.00,0.00,3B
36,486,36,May 9,ATL,,BOS,W9-3,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.239,.327,.406,.733,3,.57,0.018,.65,0.01%,-1.58,4.00,6.20,3B
37,487,37,May 10,ATL,,BOS,L2-5,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.246,.331,.408,.740,3,1.29,0.009,1.48,0.01%,0.31,8.00,9.20,3B
38,488,38,May 12,ATL,@,TOR,L0-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.240,.323,.397,.721,3,1.11,-0.210,1.29,-0.15%,-1.53,0.00,0.00,3B
39,489,39,May 13,ATL,@,TOR,L2-5,CG,5,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.240,.326,.393,.719,3,1.09,0.013,1.31,0.01%,-0.01,5.00,6.00,3B
40,490,40,May 14,ATL,@,TOR,L5-6,CG,5,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.247,.333,.396,.729,4,.80,0.070,1.00,0.05%,0.84,8.00,9.00,3B
41,491,41,May 15,ATL,@,TEX,W12-0,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.245,.330,.409,.738,4,.32,-0.041,.40,-0.03%,0.70,16.00,22.20,3B
42,492,42,May 16,ATL,@,TEX,L4-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.323,.399,.721,4,1.08,-0.115,1.29,-0.08%,-0.96,0.00,0.00,3B
43,493,43,May 17,ATL,@,TEX,W6-5,CG,4,4,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.246,.326,.407,.734,4,1.30,0.281,1.65,0.21%,1.19,12.00,15.70,3B
44,494,44,May 19,ATL,,SEA,W6-2,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.251,.330,.409,.739,4,1.19,0.007,1.41,0.01%,0.04,8.00,9.20,3B
45,495,45,May 20,ATL,,SEA,L3-7,CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.253,.328,.408,.736,4,.66,-0.043,.79,-0.03%,-0.48,5.00,6.50,3B
46,496,46,May 21,ATL,,SEA,W3-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.253,.327,.404,.731,3,.80,-0.065,1.01,-0.05%,-0.62,3.00,3.00,3B
47,497,47,May 22,ATL,,LAD,L6-8,CG,4,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,.256,.335,.411,.746,4,1.10,0.141,1.44,0.11%,1.43,11.00,15.20,3B
48,498,48,May 23,ATL,,LAD,L1-8,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.255,.333,.413,.746,4,.82,0.042,1.10,0.03%,0.23,7.00,9.50,3B
49,499,49,May 24,ATL,,LAD,W4-3,CG,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.336,.426,.762,3,.94,0.170,1.30,0.14%,0.77,12.00,15.20,3B
50,500,50,May 25,ATL,,PHI,W8-5,CG,5,5,2,2,0,0,2,3,0,0,2,0,0,0,0,0,0,0,.264,.338,.456,.794,3,.98,0.210,1.40,0.18%,1.33,30.00,40.90,3B
51,501,51,May 26,ATL,,PHI,L4-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.264,.336,.452,.788,3,.97,-0.102,1.32,-0.08%,-0.96,3.00,3.00,3B
52,502,52,May 27,ATL,,PHI,L1-2,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.264,.335,.453,.788,3,1.01,-0.058,1.38,-0.05%,-0.40,5.00,6.00,3B
53,503,53,May 28,ATL,,PHI,W11-4,CG,5,5,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.267,.336,.466,.802,3,.23,0.064,.34,0.06%,1.05,19.00,25.20,3B
54,504,54,May 29,ATL,@,OAK,L2-7,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.271,.339,.467,.806,3,.74,0.043,.92,0.03%,0.53,6.00,6.00,3B
55,505,55,May 30,ATL,@,OAK,L1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.266,.333,.458,.791,3,.99,-0.120,1.27,-0.09%,-0.91,0.00,0.00,3B
56,506,56,May 31,ATL,@,OAK,W4-2,CG,4,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.263,.332,.452,.784,3,1.07,0.000,1.40,0.00%,-0.04,4.00,6.50,3B
57,507,57,Jun 2,ATL,@,ARI,L2-3,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.262,.331,.452,.783,3,1.00,-0.104,1.38,-0.09%,-0.75,5.00,6.00,3B
58,508,58,Jun 3,ATL,@,ARI,W5-2,CG,5,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.258,.324,.444,.769,3,.74,-0.029,1.05,-0.02%,-0.79,4.00,6.70,3B
59,509,59,Jun 4,ATL,@,ARI,W8-5,CG,5,4,1,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,.262,.329,.450,.779,3,1.83,0.028,2.55,0.02%,0.64,12.00,15.20,3B
60,510,60,Jun 6,ATL,,NYM,W6-4,CG,4,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.267,.336,.453,.788,3,1.14,0.193,1.66,0.17%,1.78,10.00,12.20,3B
61,511,61,Jun 7,ATL,,NYM,W7-5,CG,4,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.271,.338,.453,.792,3,1.08,-0.009,1.47,-0.01%,-0.05,10.00,12.40,3B
62,512,62,Jun 8,ATL,,NYM,W13-10,CG(10),6,6,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.281,.346,.471,.817,3,1.35,0.089,1.83,0.07%,1.65,29.00,37.60,3B
63,513,63,Jun 9,ATL,,WSN,W3-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.278,.344,.465,.810,3,1.06,-0.059,1.33,-0.04%,-0.21,7.00,9.00,3B
64,514,64,Jun 10,ATL,,WSN,W6-4,CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.274,.339,.460,.799,3,.58,-0.011,.68,-0.01%,-0.63,2.00,3.50,3B
65,515,65,Jun 11,ATL,,WSN,L2-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.335,.452,.787,3,.51,-0.052,.59,-0.04%,-0.73,0.00,0.00,3B
66,516,66,Jun 12,ATL,@,DET,L5-6,CG(10),5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.266,.332,.445,.777,3,.69,-0.050,.80,-0.04%,-1.26,2.00,3.00,3B
67,517,67,Jun 14 (1),ATL,@,DET,W10-7,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.330,.441,.771,3,.39,-0.057,.48,-0.04%,-0.76,3.00,3.00,3B
68,518,68,Jun 14 (2),ATL,@,DET,W6-5,CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.265,.329,.439,.768,3,1.11,0.025,1.32,0.02%,0.02,5.00,6.50,3B
69,519,69,Jun 15,ATL,,COL,W8-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.261,.325,.433,.757,3,.59,-0.087,.70,-0.06%,-1.71,0.00,0.00,3B
70,520,70,Jun 16,ATL,,COL,W8-1,CG,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.263,.330,.433,.763,3,.39,0.026,.45,0.02%,0.26,11.00,15.40,3B
71,521,71,Jun 17,ATL,,COL,W10-2,CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.331,.433,.764,3,.37,0.063,.40,0.04%,0.76,8.00,9.20,3B
72,522,72,Jun 18,ATL,,COL,W14-6,CG,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.260,.325,.423,.748,3,.73,-0.114,.77,-0.07%,-2.25,0.00,0.00,3B
73,523,73,Jun 20,ATL,@,PHI,W4-2,CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.259,.323,.430,.753,3,.67,0.098,.80,0.07%,0.12,14.00,18.70,3B
74,524,74,Jun 22,ATL,@,PHI,W5-1,CG(10),5,4,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,.259,.324,.428,.752,3,1.91,0.240,2.12,0.16%,1.56,7.00,9.20,3B
75,525,75,Jun 23,ATL,@,CIN,L10-11,CG,5,5,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.264,.328,.441,.769,3,.91,0.123,.90,0.07%,1.93,26.00,34.60,3B
76,526,76,Jun 24,ATL,@,CIN,W7-6,CG,5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.267,.329,.443,.773,3,1.06,0.033,1.13,0.02%,-0.12,12.00,15.70,3B
77,527,77,Jun 25,ATL,@,CIN,W7-6,CG,5,2,2,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,.265,.333,.440,.774,3,.98,0.040,.92,0.02%,0.74,15.00,21.40,3B
78,528,78,Jun 26,ATL,,MIN,W4-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.332,.438,.770,3,.68,-0.015,.55,-0.01%,-0.35,5.00,6.20,3B
79,529,79,Jun 27,ATL,,MIN,W6-2,CG,4,3,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.269,.337,.450,.787,3,.35,0.096,.26,0.04%,0.96,21.00,28.20,3B
80,530,80,Jun 28,ATL,,MIN,W3-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.333,.444,.777,3,.83,-0.110,.62,-0.05%,-1.47,0.00,0.00,3B
81,531,81,Jun 30,ATL,,MIA,W16-4,CG,5,5,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.270,.337,.459,.796,3,.42,0.198,.45,0.13%,2.28,30.00,41.10,3B
82,532,82,Jul 1,ATL,,MIA,W7-0,CG,4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.339,.463,.802,3,.22,0.020,.21,0.01%,0.59,12.00,15.40,3B
83,533,83,Jul 2,ATL,,MIA,W6-3,CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.270,.335,.457,.792,3,.75,-0.082,.62,-0.04%,-1.01,0.00,0.00,3B
84,534,84,Jul 3,ATL,@,CLE,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.267,.332,.452,.783,3,.53,-0.075,.27,-0.02%,-1.02,0.00,0.00,3B
85,535,85,Jul 4,ATL,@,CLE,L5-6,CG(10),5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.266,.330,.448,.778,3,1.41,-0.153,.64,-0.04%,-1.31,5.00,6.20,3B
86,536,86,Jul 5,ATL,@,CLE,W8-1,CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.268,.331,.456,.787,3,.38,0.061,.20,0.02%,0.69,19.00,24.90,3B
87,537,87,Jul 7,ATL,@,TBR,W2-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.327,.451,.778,3,.72,-0.072,.36,-0.02%,-0.72,0.00,0.00,3B
88,538,88,Jul 8,ATL,@,TBR,W6-1,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.323,.444,.767,3,.65,-0.090,.28,-0.02%,-1.50,0.00,0.00,3B
89,539,89,Jul 9,ATL,@,TBR,L4-10,CG,4,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.266,.327,.448,.775,3,.49,0.080,.19,0.02%,1.25,11.00,12.20,3B
90,540,90,Jul 14,ATL,,CHW,W9-0,CG,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.264,.328,.444,.772,3,.54,0.056,.23,0.01%,-0.06,6.00,9.20,3B
91,541,91,Jul 15,ATL,,CHW,L5-6,CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.263,.327,.440,.767,3,2.00,-0.142,.66,-0.03%,-0.44,5.00,6.50,3B
92,542,92,Jul 16,ATL,,CHW,L1-8,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.261,.326,.437,.763,3,.82,-0.046,.36,-0.01%,-0.88,2.00,3.00,3B
93,543,93,Jul 18,ATL,,ARI,L13-16,CG,5,5,3,3,1,0,2,7,0,0,1,0,0,0,0,0,0,0,.266,.329,.458,.787,3,1.59,0.604,.73,0.17%,4.58,45.00,64.10,3B
94,544,94,Jul 19,ATL,,ARI,L3-5,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.265,.329,.464,.792,3,.93,0.026,.50,0.01%,0.36,14.00,18.70,3B
95,545,95,Jul 20,ATL,,ARI,W7-5,CG,4,4,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,.268,.330,.477,.808,3,1.35,0.732,.77,0.25%,3.34,28.00,37.90,3B
96,546,96,Jul 21,ATL,@,MIL,W6-4,CG,4,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.270,.332,.486,.817,3,.66,0.138,.35,0.04%,1.60,21.00,28.40,3B
97,547,97,Jul 22,ATL,@,MIL,L3-4,CG,4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.273,.333,.494,.827,3,1.37,0.125,.64,0.04%,1.66,21.00,28.70,3B
98,548,98,Jul 23,ATL,@,MIL,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.330,.488,.819,3,.97,-0.103,.48,-0.03%,-1.09,0.00,0.00,3B
99,549,99,Jul 25,ATL,@,BOS,L1-7,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.330,.486,.816,3,.77,0.008,.25,0.00%,0.03,3.00,3.00,3B
100,550,100,Jul 26,ATL,@,BOS,L3-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.329,.484,.812,3,1.22,-0.100,.51,-0.03%,-0.70,3.00,3.00,3B
101,551,101,Jul 28,ATL,,MIL,W10-7,CG,5,4,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.272,.332,.491,.823,3,.78,0.054,.44,0.02%,1.36,19.00,24.70,3B
102,552,102,Jul 29,ATL,,MIL,W11-5,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.333,.494,.827,3,.33,0.076,.15,0.02%,0.81,10.00,12.20,3B
103,553,103,Jul 30,ATL,,MIL,W8-6,CG,4,3,2,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.275,.335,.500,.835,3,1.22,0.085,.44,0.02%,1.27,20.00,28.40,3B
104,554,104,Jul 31,ATL,,LAA,L1-4,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.334,.500,.834,3,.94,-0.012,.27,0.00%,-0.10,5.00,6.00,3B
105,555,105,Aug 1,ATL,,LAA,W5-1,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.276,.335,.500,.835,3,.79,0.031,.27,0.01%,0.71,6.00,6.00,3B
