Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,115,1,Mar 30,ATL,@,WSN,W7-2,CG,5,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.400,.250,.650,7,.50,-0.006,.50,0.00%,-0.06,9.00,12.40,CF
2,116,2,Apr 1,ATL,@,WSN,W7-1,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.250,.333,.250,.583,5,.51,0.022,.55,0.02%,0.02,5.00,6.50,CF
3,117,3,Apr 2,ATL,@,WSN,L1-4,CG,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.300,.417,.400,.817,7,.63,0.024,.69,0.02%,0.37,7.00,9.00,CF
4,118,4,Apr 3,ATL,@,STL,W8-4,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.375,.357,.732,5,.44,0.016,.44,0.01%,-0.39,5.00,6.20,CF
5,119,5,Apr 4,ATL,@,STL,W4-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.300,.278,.578,6,.71,-0.069,.76,-0.04%,-1.22,0.00,0.00,CF
6,120,6,Apr 5,ATL,@,STL,W5-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.227,.292,.273,.564,5,.58,0.047,.63,0.03%,0.22,8.00,9.00,CF
7,121,7,Apr 6,ATL,,SDP,W7-6,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.217,.280,.261,.541,7,.90,-0.017,1.01,-0.01%,-0.23,5.00,6.00,CF
8,122,27 (19),Apr 28,ATL,@,NYM,W4-0,CG(5),2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.259,.240,.499,9,1.37,-0.133,1.90,-0.11%,-1.07,2.00,3.20,CF
9,123,28,May 1 (1),ATL,@,NYM,W9-8,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.214,.290,.250,.540,8,.60,0.014,.81,0.01%,0.19,7.00,9.20,CF
10,124,29,May 1 (2),ATL,@,NYM,L3-5,7-GF,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.207,.303,.241,.544,8,1.68,-0.009,2.30,-0.01%,-0.10,2.00,3.00,PH CF
11,125,30,May 2,ATL,@,MIA,W6-0,CG,5,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.206,.289,.265,.554,7,.61,-0.060,.81,-0.05%,-1.81,7.00,9.20,CF
12,126,31,May 3,ATL,@,MIA,W14-6,GS-6,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.237,.310,.368,.678,9,.34,0.056,.46,0.05%,1.18,19.00,25.20,CF
