Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,515,1,Mar 30,ATL,@,WSN,W7-2,CG,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.333,.333,.333,.667,1,.91,0.078,.90,0.05%,0.72,11.00,12.00,RF
2,516,2,Apr 1,ATL,@,WSN,W7-1,CG,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.273,.273,.545,.818,1,.45,0.067,.49,0.04%,-0.33,14.00,18.70,RF
3,517,3,Apr 2,ATL,@,WSN,L1-4,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.231,.333,.462,.795,1,.82,0.018,.90,0.01%,0.33,6.00,9.20,RF
4,518,4,Apr 3,ATL,@,STL,W8-4,CG,5,4,2,3,1,0,1,3,1,0,0,0,0,0,0,0,0,1,.353,.450,.765,1.215,1,.64,0.131,.64,0.08%,2.41,30.00,40.90,RF
5,519,5,Apr 4,ATL,@,STL,W4-1,CG,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.364,.440,.682,1.122,1,.71,-0.008,.75,0.00%,-0.81,13.00,15.20,RF
6,520,6,Apr 5,ATL,@,STL,W5-2,CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.370,.433,.630,1.063,1,.32,0.024,.35,0.02%,-0.06,10.00,12.40,RF
7,521,7,Apr 6,ATL,,SDP,W7-6,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.355,.429,.613,1.041,1,1.45,-0.027,1.63,-0.02%,0.12,9.00,12.20,RF
8,522,8,Apr 7,ATL,,SDP,L4-5,CG,5,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,.314,.400,.543,.943,1,1.61,-0.128,1.89,-0.09%,-0.57,16.00,21.40,RF
9,523,9,Apr 8,ATL,,SDP,L1-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.282,.364,.487,.851,1,1.03,-0.111,1.17,-0.08%,-1.07,0.00,0.00,RF
10,524,10,Apr 9,ATL,,SDP,L2-10,GS-9,4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.310,.396,.500,.896,1,.50,0.057,.55,0.04%,0.86,15.00,18.50,RF
11,525,11,Apr 10,ATL,,CIN,W5-4,CG(10),5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.340,.415,.511,.926,1,1.02,0.033,1.09,0.02%,0.78,9.00,9.00,RF
