Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
42,437,72 (1),Jun 24,ATL,,LAD,L1-4,CG,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.282,.375,.460,.835,1,.99,0.015,1.24,0.01%,0.19,10.00,12.20,RF
43,438,73,Jun 25,ATL,,LAD,W5-3,GS-9,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.281,.372,.455,.828,1,.85,-0.044,1.00,-0.03%,-0.50,10.00,12.20,RF
44,439,78 (4),Jul 1,ATL,@,CIN,W9-1,CG,5,3,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.288,.383,.465,.848,1,.62,0.076,.73,0.05%,1.27,16.00,21.40,DH
45,440,79,Jul 2,ATL,@,CIN,W4-1,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.282,.379,.454,.833,1,.98,-0.080,1.18,-0.06%,-1.29,4.00,6.20,RF
46,441,80,Jul 3,ATL,@,CIN,L3-4,CG,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.287,.384,.455,.839,1,.97,0.074,1.17,0.05%,1.02,18.00,21.00,RF
47,442,81,Jul 4,ATL,,STL,W6-3,CG,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.287,.386,.453,.839,1,.78,0.060,1.04,0.05%,0.62,14.00,18.70,RF
48,443,82,Jul 5,ATL,,STL,W7-1,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.285,.382,.446,.828,1,.65,0.075,.84,0.06%,0.00,10.00,12.20,RF
49,444,83,Jul 6,ATL,,STL,W3-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.375,.437,.812,1,.44,-0.044,.57,-0.04%,-0.68,0.00,0.00,RF
50,445,84,Jul 7,ATL,,STL,L2-3,CG(11),5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.272,.367,.426,.792,1,1.19,-0.151,1.44,-0.11%,-1.05,2.00,3.20,RF
51,446,85,Jul 8,ATL,,WSN,W12-2,GS-9,5,5,1,2,0,0,1,3,0,0,1,0,0,0,0,1,0,0,.275,.368,.440,.808,1,.41,0.060,.46,0.04%,1.21,21.00,28.70,RF
52,447,86,Jul 9,ATL,,WSN,W4-3,CG,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.281,.374,.443,.817,1,.63,0.027,.71,0.02%,0.51,10.00,12.20,RF
53,448,87,Jul 10,ATL,,WSN,W4-3,CG(12),6,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.274,.369,.433,.802,1,1.74,-0.239,1.94,-0.16%,-1.24,2.00,3.00,RF
54,449,88,Jul 11,ATL,,NYM,L1-4,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.367,.434,.801,1,.97,0.019,1.49,0.02%,-0.20,5.00,6.00,RF
55,450,89,Jul 12,ATL,,NYM,W4-1,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.274,.369,.433,.802,1,.81,-0.032,1.24,-0.03%,-0.09,5.00,6.00,RF
56,451,90,Jul 13,ATL,,NYM,L3-7,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,.275,.371,.431,.802,1,.73,-0.034,1.13,-0.03%,-0.55,10.00,12.00,RF
57,452,91,Jul 14,ATL,@,WSN,W5-4,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.271,.369,.425,.795,1,.71,0.064,.78,0.04%,0.52,9.00,12.20,RF
58,453,92,Jul 15,ATL,@,WSN,W8-4,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.270,.366,.420,.786,1,.38,-0.024,.41,-0.02%,-0.46,10.00,12.20,RF
59,454,94 (1),Jul 17,ATL,@,WSN,L3-7,CG,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.265,.363,.413,.776,1,.84,-0.046,.83,-0.03%,-0.62,2.00,3.00,DH
60,455,95,Jul 22,ATL,,LAA,W8-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.262,.361,.408,.769,1,.51,-0.051,.53,-0.03%,-0.06,2.00,3.00,RF
61,456,96,Jul 23,ATL,,LAA,W7-2,CG,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.262,.362,.409,.771,1,.36,0.064,.36,0.04%,0.20,9.00,12.20,RF
62,457,97,Jul 24,ATL,,LAA,L1-9,CG,5,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.264,.363,.409,.772,1,.22,-0.021,.22,-0.01%,0.49,8.00,9.50,RF
63,458,98,Jul 25,ATL,@,PHI,L4-6,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.264,.363,.407,.770,1,.86,0.013,.98,0.01%,-0.05,10.00,12.00,RF
64,459,99,Jul 26,ATL,@,PHI,W6-3,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.259,.357,.398,.756,1,.43,-0.054,.48,-0.04%,-1.58,0.00,0.00,RF
65,460,101 (1),Jul 29,ATL,,ARI,W5-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.259,.356,.396,.752,1,.59,-0.004,.59,0.00%,-0.22,10.00,12.20,RF
66,461,102,Jul 30,ATL,,ARI,W6-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.259,.354,.394,.748,1,.52,-0.008,.51,0.00%,-0.47,3.00,3.00,RF
67,462,103,Jul 31,ATL,,ARI,W1-0,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.259,.353,.392,.745,1,.84,-0.059,.77,-0.03%,-0.38,3.00,3.00,RF
68,463,104,Aug 2,ATL,,PHI,W13-1,CG,5,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.259,.357,.391,.748,1,.77,0.128,.73,0.07%,1.15,11.00,15.70,RF
69,464,105,Aug 3,ATL,,PHI,L1-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.257,.356,.387,.742,1,1.53,-0.096,1.51,-0.06%,-1.38,2.00,3.00,RF CF
70,465,106,Aug 4,ATL,@,NYM,L4-6,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.256,.354,.396,.750,1,1.01,0.018,1.33,0.01%,1.03,16.00,22.20,RF
71,466,107,Aug 5,ATL,@,NYM,W9-6,CG,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.266,.361,.403,.764,1,.34,0.017,.43,0.01%,1.76,19.00,21.20,RF
72,467,108,Aug 6 (1),ATL,@,NYM,L5-8,CG,5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.269,.362,.406,.768,1,.58,0.012,.78,0.01%,0.23,12.00,15.70,RF
73,468,109,Aug 6 (2),ATL,@,NYM,L2-6,CG,4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.268,.360,.408,.768,1,.89,-0.035,1.11,-0.03%,0.26,7.00,9.50,RF
74,469,110,Aug 7,ATL,@,NYM,L2-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.359,.406,.766,4,1.66,-0.037,1.89,-0.03%,-0.35,0.00,0.00,PH RF
75,470,111,Aug 9,ATL,@,BOS,W9-7,CG(11),6,5,3,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.273,.365,.410,.774,1,1.94,0.168,1.47,0.08%,0.75,22.00,27.60,RF
76,471,112,Aug 10,ATL,@,BOS,W8-4,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.272,.362,.406,.768,1,.50,-0.018,.36,-0.01%,-0.72,3.00,3.00,RF
77,472,113,Aug 12,ATL,@,MIA,W4-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.358,.401,.759,1,.96,-0.069,.63,-0.03%,-0.74,0.00,0.00,RF
78,473,114,Aug 13 (1),ATL,@,MIA,W5-2,CG,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.270,.359,.401,.759,1,.94,0.024,.69,0.01%,0.07,11.00,12.00,RF
