Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
28,28,74,Jun 26,ATL,,LAD,L3-5,CG(11),5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.330,.355,.524,.879,9,1.54,-0.112,1.86,-0.08%,-0.40,13.00,15.20,CF
29,29,75,Jun 28,ATL,@,PHI,W5-3,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.351,.514,.865,9,.84,-0.036,1.10,-0.03%,-0.72,5.00,6.20,CF
30,30,76,Jun 29,ATL,@,PHI,W4-1,CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.327,.351,.509,.860,9,.72,0.039,.96,0.03%,0.61,10.00,12.50,CF
31,31,77,Jun 30,ATL,@,PHI,L4-14,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.325,.347,.526,.874,9,.43,-0.044,.59,-0.04%,0.78,16.00,22.20,CF
32,32,78,Jul 1,ATL,@,CIN,W9-1,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.316,.344,.513,.857,9,.56,-0.031,.66,-0.02%,-0.94,4.00,6.20,CF
33,33,79,Jul 2,ATL,@,CIN,W4-1,CG,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.308,.341,.500,.841,9,1.50,0.009,1.79,0.01%,-0.13,4.00,6.50,CF
34,34,80,Jul 3,ATL,@,CIN,L3-4,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.306,.338,.516,.855,9,1.05,0.281,1.26,0.20%,0.32,14.00,18.70,CF
35,35,81,Jul 4,ATL,,STL,W6-3,CG,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.302,.338,.508,.846,9,.72,-0.006,.96,0.00%,-0.89,4.00,6.20,CF
36,36,82,Jul 5,ATL,,STL,W7-1,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,.300,.336,.500,.836,9,.23,0.006,.30,0.01%,-0.13,15.00,18.20,CF
37,37,83,Jul 6,ATL,,STL,W3-0,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.329,.489,.817,9,.42,-0.031,.54,-0.02%,-0.43,0.00,0.00,CF
38,38,84,Jul 7,ATL,,STL,L2-3,CG(11),5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.290,.324,.500,.824,9,2.75,-0.198,3.34,-0.14%,-1.03,14.00,18.70,CF
39,39,85,Jul 8,ATL,,WSN,W12-2,CG,4,4,3,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,.310,.342,.542,.885,9,.59,0.138,.66,0.09%,4.22,35.00,47.60,CF
40,40,86,Jul 9,ATL,,WSN,W4-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.336,.531,.867,9,.52,-0.038,.59,-0.03%,-0.82,0.00,0.00,CF
41,41,87,Jul 10,ATL,,WSN,W4-3,CG(12),5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.300,.331,.520,.851,9,2.59,-0.041,2.89,-0.03%,-0.54,8.00,9.00,CF
42,42,88,Jul 11,ATL,,NYM,L1-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.325,.510,.835,8,1.09,-0.082,1.68,-0.08%,-0.56,0.00,0.00,CF
43,43,89,Jul 12,ATL,,NYM,W4-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.319,.500,.819,9,.60,-0.046,.92,-0.04%,-0.50,0.00,0.00,CF
44,44,90,Jul 13,ATL,,NYM,L3-7,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.283,.317,.491,.808,9,.34,0.000,.53,0.00%,-0.30,2.00,3.00,CF
45,45,91,Jul 14,ATL,@,WSN,W5-4,CG,3,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.284,.318,.506,.824,9,1.04,0.221,1.15,0.15%,1.31,16.00,22.20,CF
46,46,92,Jul 15,ATL,@,WSN,W8-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.277,.310,.494,.804,9,.31,-0.029,.32,-0.02%,-0.88,0.00,0.00,CF
47,47,93,Jul 16,ATL,@,WSN,W6-3,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0,.284,.320,.503,.823,9,.75,0.081,.79,0.05%,1.69,27.00,33.20,CF
48,48,94,Jul 17,ATL,@,WSN,L3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.319,.497,.816,9,.72,0.002,.70,0.00%,-0.14,3.00,3.00,CF
49,49,95,Jul 22,ATL,,LAA,W8-1,CG,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.284,.319,.494,.813,9,.47,-0.038,.49,-0.02%,0.77,5.00,6.20,CF
50,50,96,Jul 23,ATL,,LAA,W7-2,CG,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.289,.323,.494,.817,9,.45,0.077,.45,0.05%,0.82,10.00,13.00,CF
51,51,97,Jul 24,ATL,,LAA,L1-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.321,.489,.810,9,.17,-0.015,.17,-0.01%,-0.56,3.00,3.00,CF
52,52,98,Jul 25,ATL,@,PHI,L4-6,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,.287,.320,.484,.804,9,1.58,0.213,1.80,0.15%,2.19,8.00,9.00,CF
53,53,99,Jul 26,ATL,@,PHI,W6-3,CG,4,4,1,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,.292,.323,.505,.829,9,.42,0.094,.47,0.06%,2.03,21.00,28.20,CF
54,54,100,Jul 27,ATL,@,PHI,L2-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.317,.495,.812,1,.61,-0.061,.63,-0.04%,-0.73,0.00,0.00,CF
55,55,101,Jul 29,ATL,,ARI,W5-2,CG,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.289,.327,.497,.824,9,.46,0.016,.46,0.01%,0.41,9.00,12.20,CF
56,56,102,Jul 30,ATL,,ARI,W6-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.284,.321,.488,.808,9,.19,-0.019,.19,-0.01%,-0.98,0.00,0.00,CF
57,57,103,Jul 31,ATL,,ARI,W1-0,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.279,.316,.480,.797,9,1.14,-0.086,1.05,-0.05%,-0.56,0.00,0.00,CF
58,58,104,Aug 2,ATL,,PHI,W13-1,CG,4,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.280,.320,.478,.798,9,.56,0.012,.54,0.01%,-0.01,9.00,12.40,CF
59,59,106 (1),Aug 4,ATL,@,NYM,L4-6,CG,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.286,.324,.481,.805,9,.94,0.077,1.24,0.06%,1.68,17.00,22.20,CF
60,60,107,Aug 5,ATL,@,NYM,W9-6,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,.290,.327,.495,.823,9,.24,0.024,.31,0.02%,0.00,17.00,21.70,CF
61,61,108,Aug 6 (1),ATL,@,NYM,L5-8,CG,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.289,.326,.491,.817,9,.69,-0.064,.93,-0.05%,-0.73,3.00,3.00,CF
62,62,109,Aug 6 (2),ATL,@,NYM,L2-6,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.326,.489,.815,8,.89,0.014,1.12,0.01%,0.05,3.00,3.00,CF
63,63,110,Aug 7,ATL,@,NYM,L2-5,CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.286,.322,.482,.804,8,.48,-0.035,.55,-0.02%,-0.45,0.00,0.00,CF
