Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Wednesday May 17,boxscore,ATL,@,TEX,W,6,5,,27-16,1,up 5.0,Anderson,Burke,Iglesias,2:29,N,30035,1.27,+,
44,Friday May 19,boxscore,ATL,,SEA,W,6,2,,28-16,1,up 5.5,McHugh,Miller,,2:29,N,40412,1.19,++,
45,Saturday May 20,boxscore,ATL,,SEA,L,3,7,,28-17,1,up 4.5,Gilbert,Tonkin,,2:46,N,40250,1.19,-,
46,Sunday May 21,boxscore,ATL,,SEA,W,3,2,,29-17,1,up 5.0,Shuster,Kirby,Iglesias,2:05,D,40213,1.27,+,
47,Monday May 22,boxscore,ATL,,LAD,L,6,8,,29-18,1,up 4.5,Phillips,Morton,Graterol,2:54,N,40205,1.31,-,
48,Tuesday May 23,boxscore,ATL,,LAD,L,1,8,,29-19,1,up 4.5,Miller,Strider,,2:48,N,36731,1.33,--,
49,Wednesday May 24,boxscore,ATL,,LAD,W-wo,4,3,,30-19,1,up 5.5,Iglesias,Bickford,,2:42,N,37838,1.38,+,
50,Thursday May 25,boxscore,ATL,,PHI,W,8,5,,31-19,1,up 5.5,Anderson,Soto,Iglesias,2:44,N,43216,1.43,++,
51,Friday May 26,boxscore,ATL,,PHI,L,4,6,,31-20,1,up 4.5,Walker,Jiménez,Kimbrel,2:55,N,40533,1.37,-,
52,Saturday May 27,boxscore,ATL,,PHI,L,1,2,,31-21,1,up 4.5,Wheeler,Morton,Kimbrel,2:24,D,42665,1.37,--,
53,Sunday May 28,boxscore,ATL,,PHI,W,11,4,,32-21,1,up 4.5,Strider,Covey,,2:52,N,43109,1.48,+,
54,Monday May 29,boxscore,ATL,@,OAK,L,2,7,,32-22,1,up 4.0,Erceg,Soroka,,2:31,N,8556,1.25,-,
55,Tuesday May 30,boxscore,ATL,@,OAK,L-wo,1,2,,32-23,1,up 4.0,Fujinami,Iglesias,,2:19,N,5116,1.28,--,
56,Wednesday May 31,boxscore,ATL,@,OAK,W,4,2,,33-23,1,up 4.0,Shuster,Kaprielian,Iglesias,2:19,D,6429,1.31,+,
57,Friday Jun 2,boxscore,ATL,@,ARI,L,2,3,,33-24,1,up 3.5,Kelly,Morton,Castro,2:11,N,27469,1.38,-,
58,Saturday Jun 3,boxscore,ATL,@,ARI,W,5,2,,34-24,1,up 3.5,Strider,Nelson,Iglesias,2:44,N,36529,1.41,+,
59,Sunday Jun 4,boxscore,ATL,@,ARI,W,8,5,,35-24,1,up 3.5,Minter,Castro,Iglesias,3:13,D,32401,1.39,++,
60,Tuesday Jun 6,boxscore,ATL,,NYM,W,6,4,,36-24,1,up 3.0,Elder,Smith,Iglesias,2:38,N,37365,1.46,+++,
61,Wednesday Jun 7,boxscore,ATL,,NYM,W,7,5,,37-24,1,up 3.0,Anderson,Raley,Minter,2:54,N,40178,1.36,++++,
62,Thursday Jun 8,boxscore,ATL,,NYM,W-wo,13,10,10,38-24,1,up 3.5,Iglesias,Hunter,,3:33,N,39347,1.36,+++++,
63,Friday Jun 9,boxscore,ATL,,WSN,W,3,2,,39-24,1,up 4.5,Yates,Finnegan,Iglesias,2:46,N,40297,1.25,++++++,
64,Saturday Jun 10,boxscore,ATL,,WSN,W,6,4,,40-24,1,up 4.5,Shuster,Gore,Minter,2:22,D,40799,1.17,+++++++,
65,Sunday Jun 11,boxscore,ATL,,WSN,L,2,6,,40-25,1,up 3.5,Williams,Elder,,2:23,D,36744,1.15,-,
66,Monday Jun 12,boxscore,ATL,@,DET,L-wo,5,6,10,40-26,1,up 3.5,Lange,Jiménez,,3:07,N,18742,1.16,--,
67,Wednesday Jun 14 (1),boxscore,ATL,@,DET,W,10,7,,41-26,1,up 4.5,Strider,Olson,,3:12,D,,1.23,+,
68,Wednesday Jun 14 (2),boxscore,ATL,@,DET,W,6,5,,42-26,1,up 4.5,McHugh,Lorenzen,Minter,2:22,D,24186,1.19,++,
69,Thursday Jun 15,boxscore,ATL,,COL,W,8,3,,43-26,1,up 5.0,Smith-Shawver,Freeland,Tonkin,2:33,N,38555,1.18,+++,
70,Friday Jun 16,boxscore,ATL,,COL,W,8,1,,44-26,1,up 5.0,Shuster,Lamet,,2:14,N,41214,1.15,++++,
71,Saturday Jun 17,boxscore,ATL,,COL,W,10,2,,45-26,1,up 5.0,Elder,Seabold,,2:31,D,41558,1.09,+++++,
72,Sunday Jun 18,boxscore,ATL,,COL,W,14,6,,46-26,1,up 5.0,Morton,Anderson,,3:01,D,41161,1.06,++++++,
73,Tuesday Jun 20,boxscore,ATL,@,PHI,W,4,2,,47-26,1,up 5.5,Strider,Hoffman,Iglesias,2:46,N,37746,1.19,+++++++,
74,Thursday Jun 22,boxscore,ATL,@,PHI,W,5,1,10,48-26,1,up 6.0,Iglesias,Marte,,2:57,D,39570,1.11,++++++++,
75,Friday Jun 23,boxscore,ATL,@,CIN,L,10,11,,48-27,1,up 6.0,Young,McHugh,Díaz,3:13,N,43086,.98,-,
76,Saturday Jun 24,boxscore,ATL,@,CIN,W,7,6,,49-27,1,up 6.0,Tonkin,Ashcraft,Iglesias,3:09,D,43498,1.06,+,
77,Sunday Jun 25,boxscore,ATL,@,CIN,W,7,6,,50-27,1,up 6.0,Morton,Wynne,Iglesias,3:28,D,40140,.95,++,
78,Monday Jun 26,boxscore,ATL,,MIN,W,4,1,,51-27,1,up 6.5,Strider,Gray,Yates,2:23,N,40884,.80,+++,
79,Tuesday Jun 27,boxscore,ATL,,MIN,W,6,2,,52-27,1,up 6.5,Elder,Ryan,,2:34,N,42635,.76,++++,
80,Wednesday Jun 28,boxscore,ATL,,MIN,W,3,0,,53-27,1,up 6.5,Yates,Maeda,Iglesias,2:24,D,38260,.74,+++++,
81,Friday Jun 30,boxscore,ATL,,MIA,W,16,4,,54-27,1,up 7.0,Soroka,Hoeing,,2:30,N,42320,1.07,++++++,
82,Saturday Jul 1,boxscore,ATL,,MIA,W,7,0,,55-27,1,up 8.0,Morton,Pérez,,2:31,D,41889,.96,+++++++,
83,Sunday Jul 2,boxscore,ATL,,MIA,W,6,3,,56-27,1,up 9.0,Strider,Alcantara,Iglesias,2:32,D,40932,.83,++++++++,
84,Monday Jul 3,boxscore,ATL,@,CLE,W,4,2,,57-27,1,up 9.0,Elder,Williams,Iglesias,2:26,N,38106,.51,+++++++++,
85,Tuesday Jul 4,boxscore,ATL,@,CLE,L-wo,5,6,10,57-28,1,up 8.0,De Los Santos,Iglesias,,3:02,N,24808,.46,-,
86,Wednesday Jul 5,boxscore,ATL,@,CLE,W,8,1,,58-28,1,up 8.0,Tonkin,Quantrill,,2:56,N,23862,.52,+,
87,Friday Jul 7,boxscore,ATL,@,TBR,W,2,1,,59-28,1,up 9.5,Morton,Glasnow,Iglesias,2:19,N,25025,.50,++,
88,Saturday Jul 8,boxscore,ATL,@,TBR,W,6,1,,60-28,1,up 9.5,Strider,Bradley,,2:46,N,25025,.44,+++,
89,Sunday Jul 9,boxscore,ATL,@,TBR,L,4,10,,60-29,1,up 8.5,Eflin,Elder,,2:29,D,25025,.40,-,
90,Friday Jul 14,boxscore,ATL,,CHW,W,9,0,,61-29,1,up 9.5,Morton,Kopech,,2:32,N,42782,.43,+,
91,Saturday Jul 15,boxscore,ATL,,CHW,L,5,6,,61-30,1,up 9.5,Lynn,Strider,Graveman,2:44,N,43344,.33,-,
92,Sunday Jul 16,boxscore,ATL,,CHW,L,1,8,,61-31,1,up 9.5,Cease,Allard,,2:44,D,40174,.44,--,
